state_fips,county_fips,county_name,state_name,state_postal
01,001,Autauga County,Alabama,AL
01,003,Baldwin County,Alabama,AL
01,005,Barbour County,Alabama,AL
01,007,Bibb County,Alabama,AL
01,009,Blount County,Alabama,AL
01,011,Bullock County,Alabama,AL
01,013,Butler County,Alabama,AL
01,015,Calhoun County,Alabama,AL
01,017,Chambers County,Alabama,AL
01,019,Cherokee County,Alabama,AL
01,021,Chilton County,Alabama,AL
01,023,Choctaw County,Alabama,AL
01,025,Clarke County,Alabama,AL
01,027,Clay County,Alabama,AL
01,029,Cleburne County,Alabama,AL
01,031,Coffee County,Alabama,AL
01,033,Colbert County,Alabama,AL
01,035,Conecuh County,Alabama,AL
01,037,Coosa County,Alabama,AL
01,039,Covington County,Alabama,AL
01,041,Crenshaw County,Alabama,AL
01,043,Cullman County,Alabama,AL
01,045,Dale County,Alabama,AL
01,047,Dallas County,Alabama,AL
01,049,DeKalb County,Alabama,AL
01,051,Elmore County,Alabama,AL
01,053,Escambia County,Alabama,AL
01,055,Etowah County,Alabama,AL
01,057,Fayette County,Alabama,AL
01,059,Franklin County,Alabama,AL
01,061,Geneva County,Alabama,AL
01,063,Greene County,Alabama,AL
01,065,Hale County,Alabama,AL
01,067,Henry County,Alabama,AL
01,069,Houston County,Alabama,AL
01,071,Jackson County,Alabama,AL
01,073,Jefferson County,Alabama,AL
01,075,Lamar County,Alabama,AL
01,077,Lauderdale County,Alabama,AL
01,079,Lawrence County,Alabama,AL
01,081,Lee County,Alabama,AL
01,083,Limestone County,Alabama,AL
01,085,Lowndes County,Alabama,AL
01,087,Macon County,Alabama,AL
01,089,Madison County,Alabama,AL
01,091,Marengo County,Alabama,AL
01,093,Marion County,Alabama,AL
01,095,Marshall County,Alabama,AL
01,097,Mobile County,Alabama,AL
01,099,Monroe County,Alabama,AL
01,101,Montgomery County,Alabama,AL
01,103,Morgan County,Alabama,AL
01,105,Perry County,Alabama,AL
01,107,Pickens County,Alabama,AL
01,109,Pike County,Alabama,AL
01,111,Randolph County,Alabama,AL
01,113,Russell County,Alabama,AL
01,115,St. Clair County,Alabama,AL
01,117,Shelby County,Alabama,AL
01,119,Sumter County,Alabama,AL
01,121,Talladega County,Alabama,AL
01,123,Tallapoosa County,Alabama,AL
01,125,Tuscaloosa County,Alabama,AL
01,127,Walker County,Alabama,AL
01,129,Washington County,Alabama,AL
01,131,Wilcox County,Alabama,AL
01,133,Winston County,Alabama,AL
02,013,Aleutians East Borough,Alaska,AK
02,016,Aleutians West Census Area,Alaska,AK
02,020,Anchorage Borough,Alaska,AK
02,050,Bethel Census Area,Alaska,AK
02,060,Bristol Bay Borough,Alaska,AK
02,068,Denali Borough,Alaska,AK
02,070,Dillingham Census Area,Alaska,AK
02,090,Fairbanks North Star Borough,Alaska,AK
02,100,Haines Borough,Alaska,AK
02,110,Juneau Borough,Alaska,AK
02,122,Kenai Peninsula Borough,Alaska,AK
02,130,Ketchikan Gateway Borough,Alaska,AK
02,150,Kodiak Island Borough,Alaska,AK
02,164,Lake and Peninsula Borough,Alaska,AK
02,170,Matanuska-Susitna Borough,Alaska,AK
02,180,Nome Census Area,Alaska,AK
02,185,North Slope Borough,Alaska,AK
02,188,Northwest Arctic Borough,Alaska,AK
02,201,Prince of Wales-Outer Ketchikan Census Area,Alaska,AK
02,220,Sitka Borough,Alaska,AK
02,231,Skagway-Yakutat-Angoon Census Area,Alaska,AK
02,232,Skagway-Hoonah-Angoon Census Area,Alaska,AK
02,240,Southeast Fairbanks Census Area,Alaska,AK
02,261,Valdez-Cordova Census Area,Alaska,AK
02,270,Wade Hampton Census Area,Alaska,AK
02,280,Wrangell-Petersburg Census Area,Alaska,AK
02,282,Yakutat Borough,Alaska,AK
02,290,Yukon-Koyukuk Census Area,Alaska,AK
04,001,Apache County,Arizona,AZ
04,003,Cochise County,Arizona,AZ
04,005,Coconino County,Arizona,AZ
04,007,Gila County,Arizona,AZ
04,009,Graham County,Arizona,AZ
04,011,Greenlee County,Arizona,AZ
04,012,La Paz County,Arizona,AZ
04,013,Maricopa County,Arizona,AZ
04,015,Mohave County,Arizona,AZ
04,017,Navajo County,Arizona,AZ
04,019,Pima County,Arizona,AZ
04,021,Pinal County,Arizona,AZ
04,023,Santa Cruz County,Arizona,AZ
04,025,Yavapai County,Arizona,AZ
04,027,Yuma County,Arizona,AZ
05,001,Arkansas County,Arkansas,AR
05,003,Ashley County,Arkansas,AR
05,005,Baxter County,Arkansas,AR
05,007,Benton County,Arkansas,AR
05,009,Boone County,Arkansas,AR
05,011,Bradley County,Arkansas,AR
05,013,Calhoun County,Arkansas,AR
05,015,Carroll County,Arkansas,AR
05,017,Chicot County,Arkansas,AR
05,019,Clark County,Arkansas,AR
05,021,Clay County,Arkansas,AR
05,023,Cleburne County,Arkansas,AR
