y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
AL,Alabama,01,96,US+FO,Total Migration-US and Foreign,44887,99956,0
AL,Alabama,01,13,GA,Georgia,6618,14344,0
AL,Alabama,01,12,FL,Florida,6388,13515,0
AL,Alabama,01,57,FR,Foreign,3012,7421,0
AL,Alabama,01,47,TN,Tennessee,3002,6590,0
AL,Alabama,01,48,TX,Texas,2819,6595,0
AL,Alabama,01,28,MS,Mississippi,2729,6180,0
AL,Alabama,01,06,CA,California,1931,4195,0
AL,Alabama,01,22,LA,Louisiana,1639,3807,0
AL,Alabama,01,37,NC,North Carolina,1401,3182,0
AL,Alabama,01,51,VA,Virginia,1310,2964,0
AL,Alabama,01,17,IL,Illinois,1133,2355,0
AL,Alabama,01,39,OH,Ohio,1034,2136,0
AL,Alabama,01,36,NY,New York,967,2039,0
AL,Alabama,01,26,MI,Michigan,925,1977,0
AL,Alabama,01,45,SC,South Carolina,884,1986,0
AL,Alabama,01,21,KY,Kentucky,726,1632,0
AL,Alabama,01,18,IN,Indiana,666,1413,0
AL,Alabama,01,42,PA,Pennsylvania,607,1300,0
AL,Alabama,01,29,MO,Missouri,559,1232,0
AL,Alabama,01,24,MD,Maryland,513,1111,0
AL,Alabama,01,05,AR,Arkansas,498,1193,0
AL,Alabama,01,34,NJ,New Jersey,473,1017,0
AL,Alabama,01,40,OK,Oklahoma,449,1106,0
AL,Alabama,01,08,CO,Colorado,439,966,0
AL,Alabama,01,20,KS,Kansas,399,970,0
AL,Alabama,01,53,WA,Washington,394,905,0
AL,Alabama,01,25,MA,Massachusetts,357,753,0
AL,Alabama,01,04,AZ,Arizona,332,804,0
AL,Alabama,01,09,CT,Connecticut,269,546,0
AL,Alabama,01,15,HI,Hawaii,261,673,0
AL,Alabama,01,55,WI,Wisconsin,218,457,0
AL,Alabama,01,27,MN,Minnesota,166,371,0
AL,Alabama,01,54,WV,West Virginia,160,345,0
AL,Alabama,01,02,AK,Alaska,154,425,0
AL,Alabama,01,35,NM,New Mexico,150,379,0
AL,Alabama,01,31,NE,Nebraska,144,387,0
AL,Alabama,01,19,IA,Iowa,139,284,0
AL,Alabama,01,32,NV,Nevada,120,267,0
AL,Alabama,01,49,UT,Utah,117,337,0
AL,Alabama,01,23,ME,Maine,110,253,0
AL,Alabama,01,33,NH,New Hampshire,100,232,0
AL,Alabama,01,41,OR,Oregon,99,220,0
AL,Alabama,01,10,DE,Delaware,77,173,0
AL,Alabama,01,11,DC,District of Columbia,65,113,0
AL,Alabama,01,16,ID,Idaho,56,137,0
AL,Alabama,01,44,RI,Rhode Island,55,134,0
AL,Alabama,01,46,SD,South Dakota,54,128,0
AL,Alabama,01,30,MT,Montana,51,124,0
AL,Alabama,01,38,ND,North Dakota,48,116,0
AL,Alabama,01,56,WY,Wyoming,42,112,0
AL,Alabama,01,50,VT,Vermont,28,55,0
AL,Alabama,01,01,AL,AL Non-migrants,1334900,3153705,0
AK,Alaska,02,96,US+FO,Total Migration-US and Foreign,16025,33009,0
AK,Alaska,02,53,WA,Washington,2094,4036,0
AK,Alaska,02,06,CA,California,2030,4016,0
AK,Alaska,02,41,OR,Oregon,1043,2098,0
AK,Alaska,02,48,TX,Texas,997,2290,0
AK,Alaska,02,12,FL,Florida,596,1246,0
AK,Alaska,02,04,AZ,Arizona,545,1072,0
AK,Alaska,02,08,CO,Colorado,544,1101,0
AK,Alaska,02,57,FR,Foreign,505,1200,0
AK,Alaska,02,27,MN,Minnesota,417,709,0
AK,Alaska,02,30,MT,Montana,391,819,0
AK,Alaska,02,26,MI,Michigan,363,691,0
AK,Alaska,02,36,NY,New York,347,626,0
AK,Alaska,02,16,ID,Idaho,312,663,0
AK,Alaska,02,51,VA,Virginia,297,686,0
AK,Alaska,02,39,OH,Ohio,286,508,0
AK,Alaska,02,37,NC,North Carolina,272,593,0
AK,Alaska,02,22,LA,Louisiana,266,641,0
AK,Alaska,02,13,GA,Georgia,255,562,0
AK,Alaska,02,17,IL,Illinois,254,480,0
AK,Alaska,02,15,HI,Hawaii,252,455,0
AK,Alaska,02,40,OK,Oklahoma,250,614,0
AK,Alaska,02,42,PA,Pennsylvania,222,353,0
