y2_state,y2_state_name,y2_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI
US+FO,Total Migration-US and Foreign,96,00,,,3288244,6299458,159921258
US,Total Migration-US,97,00,,,3185724,6107560,155248779
FO,Total Migration-Foreign,98,00,,,102520,191898,4672479
US+FO,Total Migration-US and Foreign,96,01,AL,Alabama,39847,80496,1671055
US,Total Migration-US,97,01,AL,Alabama,38709,78087,1623616
FO,Total Migration-Foreign,98,01,AL,Alabama,1138,2409,47439
AL,AL Non-migrants,01,01,AL,Alabama,1507515,3400241,73090981
GA,Georgia,13,01,AL,Alabama,7123,14272,261764
FL,Florida,12,01,AL,Alabama,5701,10923,249706
TN,Tennessee,47,01,AL,Alabama,3521,7088,147477
TX,Texas,48,01,AL,Alabama,2745,5923,121063
MS,Mississippi,28,01,AL,Alabama,2064,4366,75083
NC,North Carolina,37,01,AL,Alabama,1671,3345,71977
CA,California,06,01,AL,Alabama,1343,2414,59719
VA,Virginia,51,01,AL,Alabama,1238,2762,65085
FR,Foreign,57,01,AL,Alabama,1138,2409,47439
LA,Louisiana,22,01,AL,Alabama,955,1957,37549
SC,South Carolina,45,01,AL,Alabama,872,1772,37012
IL,Illinois,17,01,AL,Alabama,829,1627,35735
OH,Ohio,39,01,AL,Alabama,776,1563,33804
NY,New York,36,01,AL,Alabama,775,1408,28175
MO,Missouri,29,01,AL,Alabama,695,1455,36090
KY,Kentucky,21,01,AL,Alabama,669,1397,26275
MI,Michigan,26,01,AL,Alabama,589,1178,22587
CO,Colorado,08,01,AL,Alabama,519,1090,24772
IN,Indiana,18,01,AL,Alabama,506,1060,20087
AZ,Arizona,04,01,AL,Alabama,491,980,21175
AR,Arkansas,05,01,AL,Alabama,459,979,20362
PA,Pennsylvania,42,01,AL,Alabama,458,898,20534
MD,Maryland,24,01,AL,Alabama,456,895,19384
WA,Washington,53,01,AL,Alabama,428,856,17933
OK,Oklahoma,40,01,AL,Alabama,356,766,15276
HI,Hawaii,15,01,AL,Alabama,294,651,11457
NJ,New Jersey,34,01,AL,Alabama,261,500,11689
KS,Kansas,20,01,AL,Alabama,258,578,11021
NV,Nevada,32,01,AL,Alabama,233,444,9431
WI,Wisconsin,55,01,AL,Alabama,216,405,10278
MA,Massachusetts,25,01,AL,Alabama,209,382,8576
MN,Minnesota,27,01,AL,Alabama,209,435,9915
AK,Alaska,02,01,AL,Alabama,187,433,7571
NM,New Mexico,35,01,AL,Alabama,177,378,8686
OR,Oregon,41,01,AL,Alabama,160,303,7321
UT,Utah,49,01,AL,Alabama,155,351,6395
IA,Iowa,19,01,AL,Alabama,140,276,5479
WV,West Virginia,54,01,AL,Alabama,134,308,6148
CT,Connecticut,09,01,AL,Alabama,122,224,12439
NE,Nebraska,31,01,AL,Alabama,116,253,5755
DC,District of Columbia,11,01,AL,Alabama,92,135,4605
ID,Idaho,16,01,AL,Alabama,77,199,3691
MT,Montana,30,01,AL,Alabama,72,136,2610
WY,Wyoming,56,01,AL,Alabama,64,135,2372
ME,Maine,23,01,AL,Alabama,58,133,2130
DE,Delaware,10,01,AL,Alabama,56,99,1279
NH,New Hampshire,33,01,AL,Alabama,47,98,1891
SD,South Dakota,46,01,AL,Alabama,40,86,1330
ND,North Dakota,38,01,AL,Alabama,35,61,1023
