"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","Total Mig - US & For","7061273","13299964","295013218"
"00","000","97","000","US","Total Mig - US","6846962","12965318","289886831"
"00","000","97","001","US","Total Mig - US Same St","3891977","7348237","154535617"
"00","000","97","003","US","Total Mig - US Diff St","2954985","5617081","135351214"
"00","000","98","000","US","Total Mig - Foreign","214311","334646","5126387"
"01","000","96","000","AL","Total Mig - US & For","94574","194812","3257026"
"01","000","97","000","AL","Total Mig - US","92508","190968","3210398"
"01","000","97","001","AL","Total Mig - US Same St","52090","105685","1679691"
"01","000","97","003","AL","Total Mig - US Diff St","40418","85283","1530707"
"01","000","98","000","AL","Total Mig - Foreign","2066","3844","46628"
"01","001","96","000","AL","Autauga County Tot Mig-US & For","1582","4004","57292"
"01","001","97","000","AL","Autauga County Tot Mig-US","1538","3856","55232"
"01","001","97","001","AL","Autauga County Tot Mig-Same St","985","2265","30452"
"01","001","97","003","AL","Autauga County Tot Mig-Diff St","553","1591","24780"
"01","001","98","000","AL","Autauga County Tot Mig-Foreign","44","148","2060"
"01","001","01","001","AL","Autauga County Non-Migrants","14619","34913","582931"
"01","001","01","101","AL","Montgomery County","399","922","13092"
"01","001","01","051","AL","Elmore County","193","458","4875"
"01","001","01","047","AL","Dallas County","79","192","2442"
"01","001","01","021","AL","Chilton County","68","151","1555"
"01","001","01","073","AL","Jefferson County","28","56","955"
"01","001","01","117","AL","Shelby County","21","49","1250"
"01","001","01","085","AL","Lowndes County","12","25","241"
"01","001","15","003","HI","Honolulu County","12","41","582"
"01","001","01","121","AL","Talladega County","11","25","473"
"01","001","01","125","AL","Tuscaloosa County","11","25","344"
"01","001","08","041","CO","El Paso County","11","42","615"
"01","001","12","005","FL","Bay County","11","28","324"
"01","001","28","047","MS","Harrison County","11","31","398"
"01","001","48","029","TX","Bexar County","11","37","523"
"01","001","51","059","VA","Fairfax County","11","35","826"
"01","001","01","069","AL","Houston County","10","24","295"
"01","001","01","097","AL","Mobile County","10","15","241"
"01","001","17","163","IL","St Clair County","10","42","591"
"01","001","58","000","SS","Other Flows - Same State","143","323","4687"
"01","001","59","000","DS","Other Flows - Diff State","476","1335","20921"
"01","001","59","001","DS","Other Flows - Northeast","35","73","1301"
"01","001","59","003","DS","Other Flows - Midwest","66","195","2868"
"01","001","59","005","DS","Other Flows - South","298","832","12685"
"01","001","59","007","DS","Other Flows - West","77","235","4068"
"01","001","57","009","FR","Foreign - Other flows","44","148","2060"
"01","003","96","000","AL","Baldwin County Tot Mig-US & For","4077","8409","186787"
"01","003","97","000","AL","Baldwin County Tot Mig-US","4003","8313","185178"
"01","003","97","001","AL","Baldwin County Tot Mig-Same St","1736","3560","77110"
"01","003","97","003","AL","Baldwin County Tot Mig-Diff St","2267","4753","108068"
"01","003","98","000","AL","Baldwin County Tot Mig-Foreign","74","96","1609"
"01","003","01","003","AL","Baldwin County Non-Migrants","45881","102197","2092783"
"01","003","01","097","AL","Mobile County","879","1758","41014"
"01","003","12","033","FL","Escambia County","256","498","9370"
"01","003","01","073","AL","Jefferson County","133","249","6263"
"01","003","01","053","AL","Escambia County","77","175","2322"
"01","003","01","101","AL","Montgomery County","52","112","2196"
"01","003","01","117","AL","Shelby County","51","126","3376"
"01","003","01","125","AL","Tuscaloosa County","47","91","2887"
"01","003","12","091","FL","Okaloosa County","39","79","1844"
"01","003","01","099","AL","Monroe County","37","88","1390"
"01","003","12","113","FL","Santa Rosa County","35","75","1788"
"01","003","01","089","AL","Madison County","31","67","1390"
"01","003","47","157","TN","Shelby County","31","61","1433"
"01","003","01","081","AL","Lee County","30","48","806"
"01","003","48","201","TX","Harris County","30","63","1595"
"01","003","28","059","MS","Jackson County","26","54","1088"
"01","003","01","025","AL","Clarke County","24","43","605"
"01","003","12","005","FL","Bay County","24","51","1253"
"01","003","13","067","GA","Cobb County","24","52","1573"
"01","003","13","121","GA","Fulton County","23","44","1226"
"01","003","22","051","LA","Jefferson Parish","23","55","1164"
"01","003","22","033","LA","East Baton Rouge Par","22","51","1282"
"01","003","12","031","FL","Duval County","21","45","1012"
"01","003","01","069","AL","Houston County","20","44","825"
"01","003","47","037","TN","Davidson County","20","40","1161"
"01","003","57","005","FR","Foreign - APO/FPO ZIPs","20","35","825"
"01","003","22","103","LA","St Tammany Parish","19","52","1599"
"01","003","01","103","AL","Morgan County","18","37","786"
"01","003","12","057","FL","Hillsborough County","18","49","954"
"01","003","01","047","AL","Dallas County","17","41","793"
"01","003","01","055","AL","Etowah County","17","38","658"
"01","003","01","095","AL","Marshall County","17","36","935"
"01","003","13","135","GA","Gwinnett County","17","34","1000"
"01","003","01","015","AL","Calhoun County","16","43","579"
"01","003","17","031","IL","Cook County","16","26","499"
"01","003","22","071","LA","Orleans Parish","16","30","862"
"01","003","28","047","MS","Harrison County","16","29","645"
"01","003","01","045","AL","Dale County","15","32","411"
"01","003","01","043","AL","Cullman County","14","23","299"
"01","003","01","051","AL","Elmore County","14","36","1009"
"01","003","01","115","AL","St Clair County","14","25","632"
"01","003","12","073","FL","Leon County","14","31","405"
"01","003","01","039","AL","Covington County","13","26","299"
"01","003","01","121","AL","Talladega County","13","31","340"
"01","003","01","001","AL","Autauga County","12","29","697"
"01","003","01","129","AL","Washington County","12","27","320"
"01","003","05","023","AR","Cleburne County","12","37","583"
"01","003","06","073","CA","San Diego County","12","27","645"
"01","003","01","031","AL","Coffee County","11","24","365"
"01","003","01","035","AL","Conecuh County","11","22","285"
"01","003","01","109","AL","Pike County","11","19","374"
"01","003","06","037","CA","Los Angeles County","11","24","941"
"01","003","13","089","GA","De Kalb County","11","23","626"
"01","003","28","049","MS","Hinds County","11","19","560"
"01","003","39","061","OH","Hamilton County","11","17","410"
"01","003","53","033","WA","King County","11","18","579"
"01","003","01","091","AL","Marengo County","10","19","727"
"01","003","04","013","AZ","Maricopa County","10","19","685"
"01","003","12","095","FL","Orange County","10","25","425"
"01","003","58","000","SS","Other Flows - Same State","120","251","4526"
"01","003","59","000","DS","Other Flows - Diff State","1478","3125","70861"
"01","003","59","001","DS","Other Flows - Northeast","121","229","6768"
"01","003","59","003","DS","Other Flows - Midwest","332","658","16319"
"01","003","59","005","DS","Other Flows - South","860","1924","41601"
"01","003","59","007","DS","Other Flows - West","165","314","6173"
"01","003","57","009","FR","Foreign - Other flows","54","61","783"
"01","005","96","000","AL","Barbour County Tot Mig-US & For","535","1117","17146"
"01","005","97","000","AL","Barbour County Tot Mig-US","535","1117","17146"
"01","005","97","001","AL","Barbour County Tot Mig-Same St","259","533","6481"
"01","005","97","003","AL","Barbour County Tot Mig-Diff St","276","584","10664"
"01","005","01","005","AL","Barbour County Non-Migrants","8485","19288","295834"
"01","005","01","067","AL","Henry County","29","69","675"
"01","005","01","069","AL","Houston County","29","51","850"
"01","005","13","239","GA","Quitman County","28","62","541"
"01","005","01","045","AL","Dale County","27","55","675"
"01","005","01","113","AL","Russell County","25","47","524"
"01","005","01","011","AL","Bullock County","18","40","428"
"01","005","01","101","AL","Montgomery County","18","31","408"
"01","005","01","109","AL","Pike County","17","39","432"
"01","005","13","215","GA","Muscogee County","13","27","424"
"01","005","01","081","AL","Lee County","12","23","319"
"01","005","01","073","AL","Jefferson County","11","18","407"
"01","005","58","000","SS","Other Flows - Same State","73","160","1764"
"01","005","59","000","DS","Other Flows - Diff State","235","495","9699"
"01","005","59","001","DS","Other Flows - Northeast","17","34","417"
"01","005","59","003","DS","Other Flows - Midwest","31","64","1085"
"01","005","59","005","DS","Other Flows - South","174","370","7360"
"01","005","59","007","DS","Other Flows - West","13","27","837"
"01","007","96","000","AL","Bibb County Tot Mig-US & For","492","1060","15709"
"01","007","97","000","AL","Bibb County Tot Mig-US","492","1060","15709"
"01","007","97","001","AL","Bibb County Tot Mig-Same St","401","864","11273"
"01","007","97","003","AL","Bibb County Tot Mig-Diff St","91","196","4436"
"01","007","01","007","AL","Bibb County Non-Migrants","6236","14945","209135"
"01","007","01","073","AL","Jefferson County","120","255","3215"
"01","007","01","125","AL","Tuscaloosa County","112","245","3405"
"01","007","01","117","AL","Shelby County","72","149","2312"
"01","007","01","105","AL","Perry County","20","53","422"
"01","007","01","021","AL","Chilton County","15","29","250"
"01","007","58","000","SS","Other Flows - Same State","62","133","1669"
"01","007","59","000","DS","Other Flows - Diff State","91","196","4436"
"01","009","96","000","AL","Blount County Tot Mig-US & For","1142","2617","36924"
"01","009","97","000","AL","Blount County Tot Mig-US","1142","2617","36924"
"01","009","97","001","AL","Blount County Tot Mig-Same St","945","2168","31522"
"01","009","97","003","AL","Blount County Tot Mig-Diff St","197","449","5402"
"01","009","01","009","AL","Blount County Non-Migrants","15587","37987","615888"
"01","009","01","073","AL","Jefferson County","531","1245","20965"
"01","009","01","095","AL","Marshall County","95","227","1838"
"01","009","01","043","AL","Cullman County","68","147","2132"
"01","009","01","055","AL","Etowah County","57","150","1389"
"01","009","01","115","AL","St Clair County","43","88","1037"
"01","009","01","117","AL","Shelby County","24","39","871"
"01","009","01","127","AL","Walker County","20","39","397"
"01","009","01","015","AL","Calhoun County","11","21","285"
"01","009","01","103","AL","Morgan County","10","23","323"
