"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","County_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","Total Mig - US & For","6963068","13183977","294219478"
"00","000","97","000","US","Total Mig - US","6846962","12965318","289886831"
"00","000","97","001","US","Total Mig - US Same St","3891977","7348237","154535617"
"00","000","97","003","US","Total Mig - US Diff St","2954985","5617081","135351214"
"00","000","98","000","US","Total Mig - Foreign","116106","218659","4332647"
"01","000","96","000","AL","Total Mig - US & For","97381","198090","3361291"
"01","000","97","000","AL","Total Mig - US","95853","194916","3308842"
"01","000","97","001","AL","Total Mig - US Same St","52090","105685","1679691"
"01","000","97","003","AL","Total Mig - US Diff St","43763","89231","1629151"
"01","000","98","000","AL","Total Mig - Foreign","1528","3174","52449"
"01","001","96","000","AL","Autauga County Tot Mig-US & For","1436","3389","52417"
"01","001","97","000","AL","Autauga County Tot Mig-US","1391","3240","49992"
"01","001","97","001","AL","Autauga County Tot Mig-Same St","861","1790","25125"
"01","001","97","003","AL","Autauga County Tot Mig-Diff St","530","1450","24867"
"01","001","98","000","AL","Autauga County Tot Mig-Foreign","45","149","2425"
"01","001","01","001","AL","Autauga County Non-Migrants","14619","34913","582931"
"01","001","01","101","AL","Montgomery County","315","584","8238"
"01","001","01","051","AL","Elmore County","241","531","6788"
"01","001","01","021","AL","Chilton County","48","105","1394"
"01","001","01","047","AL","Dallas County","48","102","1048"
"01","001","01","073","AL","Jefferson County","29","67","970"
"01","001","01","117","AL","Shelby County","20","43","1064"
"01","001","51","059","VA","Fairfax County","19","73","1248"
"01","001","01","003","AL","Baldwin County","12","29","697"
"01","001","01","089","AL","Madison County","11","20","253"
"01","001","12","091","FL","Okaloosa County","11","27","440"
"01","001","01","041","AL","Crenshaw County","10","18","193"
"01","001","01","081","AL","Lee County","10","15","265"
"01","001","01","097","AL","Mobile County","10","16","335"
"01","001","28","047","MS","Harrison County","10","20","423"
"01","001","48","029","TX","Bexar County","10","33","647"
"01","001","58","000","SS","Other Flows - Same State","107","260","3880"
"01","001","59","000","DS","Other Flows - Diff State","480","1297","22109"
"01","001","59","001","DS","Other Flows - Northeast","19","50","857"
"01","001","59","003","DS","Other Flows - Midwest","73","214","3356"
"01","001","59","005","DS","Other Flows - South","313","815","14344"
"01","001","59","007","DS","Other Flows - West","75","218","3553"
"01","001","57","009","FR","Foreign - Other flows","45","149","2425"
"01","003","96","000","AL","Baldwin County Tot Mig-US & For","2940","5670","110977"
"01","003","97","000","AL","Baldwin County Tot Mig-US","2912","5622","110161"
"01","003","97","001","AL","Baldwin County Tot Mig-Same St","1108","2032","37137"
"01","003","97","003","AL","Baldwin County Tot Mig-Diff St","1804","3590","73024"
"01","003","98","000","AL","Baldwin County Tot Mig-Foreign","28","48","816"
"01","003","01","003","AL","Baldwin County Non-Migrants","45881","102197","2092783"
"01","003","01","097","AL","Mobile County","546","977","18903"
"01","003","12","033","FL","Escambia County","197","373","7791"
"01","003","01","073","AL","Jefferson County","98","147","3705"
"01","003","01","053","AL","Escambia County","53","113","1285"
"01","003","01","081","AL","Lee County","44","65","944"
"01","003","01","101","AL","Montgomery County","39","71","1263"
"01","003","01","117","AL","Shelby County","39","80","2025"
"01","003","12","113","FL","Santa Rosa County","38","92","2163"
"01","003","01","125","AL","Tuscaloosa County","30","53","1050"
"01","003","48","201","TX","Harris County","28","70","1623"
"01","003","01","089","AL","Madison County","24","47","1005"
"01","003","12","091","FL","Okaloosa County","23","41","553"
"01","003","13","121","GA","Fulton County","21","30","737"
"01","003","12","031","FL","Duval County","20","43","1120"
"01","003","13","067","GA","Cobb County","20","34","649"
"01","003","28","047","MS","Harrison County","20","38","528"
"01","003","13","089","GA","De Kalb County","19","26","600"
"01","003","13","135","GA","Gwinnett County","19","32","722"
"01","003","06","073","CA","San Diego County","17","29","490"
"01","003","22","071","LA","Orleans Parish","16","22","547"
"01","003","28","059","MS","Jackson County","16","33","550"
"01","003","37","119","NC","Mecklenburg County","16","24","726"
"01","003","12","057","FL","Hillsborough County","15","34","803"
"01","003","01","099","AL","Monroe County","14","22","340"
"01","003","22","033","LA","East Baton Rouge Par","14","25","477"
"01","003","22","103","LA","St Tammany Parish","14","35","598"
"01","003","01","025","AL","Clarke County","13","23","193"
"01","003","06","037","CA","Los Angeles County","13","18","352"
"01","003","12","005","FL","Bay County","13","17","391"
"01","003","47","037","TN","Davidson County","13","19","272"
"01","003","47","157","TN","Shelby County","13","25","530"
"01","003","01","115","AL","St Clair County","12","26","395"
"01","003","12","011","FL","Broward County","12","21","318"
"01","003","22","051","LA","Jefferson Parish","12","24","510"
"01","003","48","141","TX","El Paso County","12","34","176"
"01","003","01","109","AL","Pike County","11","14","218"
"01","003","04","013","AZ","Maricopa County","11","23","771"
"01","003","01","015","AL","Calhoun County","10","16","123"
"01","003","01","069","AL","Houston County","10","20","267"
"01","003","01","121","AL","Talladega County","10","23","276"
"01","003","12","095","FL","Orange County","10","19","564"
"01","003","28","035","MS","Forrest County","10","16","378"
"01","003","48","439","TX","Tarrant County","10","25","225"
"01","003","58","000","SS","Other Flows - Same State","155","335","5146"
"01","003","59","000","DS","Other Flows - Diff State","1162","2368","47861"
"01","003","59","001","DS","Other Flows - Northeast","97","163","4595"
"01","003","59","003","DS","Other Flows - Midwest","203","436","7211"
"01","003","59","005","DS","Other Flows - South","714","1494","30602"
"01","003","59","007","DS","Other Flows - West","148","275","5453"
"01","003","57","009","FR","Foreign - Other flows","28","48","816"
"01","005","96","000","AL","Barbour County Tot Mig-US & For","567","1156","21961"
"01","005","97","000","AL","Barbour County Tot Mig-US","567","1156","21961"
"01","005","97","001","AL","Barbour County Tot Mig-Same St","310","652","13672"
"01","005","97","003","AL","Barbour County Tot Mig-Diff St","257","504","8289"
"01","005","01","005","AL","Barbour County Non-Migrants","8485","19288","295834"
"01","005","01","069","AL","Houston County","46","94","2534"
"01","005","01","067","AL","Henry County","40","76","1330"
"01","005","01","045","AL","Dale County","38","90","686"
"01","005","01","101","AL","Montgomery County","36","59","979"
"01","005","01","113","AL","Russell County","24","53","608"
"01","005","13","239","GA","Quitman County","21","44","401"
"01","005","01","109","AL","Pike County","17","46","4305"
"01","005","01","011","AL","Bullock County","14","38","282"
"01","005","01","031","AL","Coffee County","13","26","338"
"01","005","01","081","AL","Lee County","13","28","356"
"01","005","13","215","GA","Muscogee County","13","22","385"
"01","005","12","005","FL","Bay County","10","17","263"
"01","005","58","000","SS","Other Flows - Same State","69","142","2253"
"01","005","59","000","DS","Other Flows - Diff State","213","421","7240"
"01","007","96","000","AL","Bibb County Tot Mig-US & For","415","931","15603"
"01","007","97","000","AL","Bibb County Tot Mig-US","415","931","15603"
"01","007","97","001","AL","Bibb County Tot Mig-Same St","340","760","13439"
