"State_Code_Origin","County_Code_Origin","State_Code_Dest","County_Code_Dest","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"01","000","96","000","","Total Outflow","42159","88494","1178652"
"01","000","13","000","Ga","Georgia","7388","14956","189827"
"01","000","12","000","Fl","Florida","5786","11537","163628"
"01","000","47","000","Tn","Tennessee","3800","7784","111289"
"01","000","48","000","Tx","Texas","2888","6407","86013"
"01","000","28","000","Ms","Mississippi","2443","5218","62106"
"01","000","57","000","FR","Foreign","1703","3658","41245"
"01","000","37","000","NC","North Carolina","1634","3522","49072"
"01","000","22","000","La","Louisiana","1442","3042","39509"
"01","000","51","000","Va","Virginia","1391","3193","49170"
"01","000","06","000","Ca","California","1237","2328","30795"
"01","000","39","000","Oh","Ohio","919","1915","23038"
"01","000","45","000","SC","South Carolina","909","2018","29279"
"01","000","21","000","Ky","Kentucky","769","1727","22507"
"01","000","17","000","Il","Illinois","742","1508","20025"
"01","000","26","000","Mi","Michigan","717","1553","16790"
"01","000","36","000","NY","New York","645","1279","16723"
"01","000","18","000","In","Indiana","590","1291","16218"
"01","000","08","000","Co","Colorado","558","1226","15984"
"01","000","29","000","Mo","Missouri","511","1123","15618"
"01","000","53","000","Wa","Washington","482","1072","14308"
"01","000","42","000","Pa","Pennsylvania","469","989","14782"
"01","000","40","000","Ok","Oklahoma","452","990","10706"
"01","000","04","000","Az","Arizona","449","934","12890"
"01","000","05","000","Ar","Arkansas","445","973","13770"
"01","000","24","000","Md","Maryland","414","905","12664"
"01","000","20","000","Ks","Kansas","390","921","10823"
"01","000","34","000","NJ","New Jersey","275","546","7645"
"01","000","25","000","Ma","Massachusetts","243","431","7257"
"01","000","15","000","Hi","Hawaii","229","557","6417"
"01","000","55","000","Wi","Wisconsin","218","487","7833"
"01","000","35","000","NM","New Mexico","165","383","6246"
"01","000","19","000","Ia","Iowa","154","364","5444"
"01","000","32","000","Nv","Nevada","152","286","3940"
"01","000","41","000","Or","Oregon","147","312","4628"
"01","000","02","000","Ak","Alaska","140","327","3761"
"01","000","54","000","WV","West Virginia","140","355","4083"
"01","000","49","000","Ut","Utah","137","343","4237"
"01","000","27","000","Mn","Minnesota","137","274","3969"
"01","000","09","000","Ct","Connecticut","133","250","4154"
"01","000","31","000","Ne","Nebraska","130","317","3966"
"01","000","23","000","Me","Maine","75","155","1863"
"01","000","16","000","Id","Idaho","71","156","2352"
"01","000","33","000","NH","New Hampshire","68","133","1918"
"01","000","11","000","DC","District of Columbia","63","96","1747"
"01","000","30","000","Mt","Montana","59","117","1239"
"01","000","10","000","De","Delaware","56","127","2066"
"01","000","46","000","SD","South Dakota","50","97","1305"
"01","000","56","000","Wy","Wyoming","49","104","1111"
"01","000","44","000","RI","Rhode Island","40","91","1201"
"01","000","50","000","Vt","Vermont","31","68","975"
"01","000","38","000","ND","North Dakota","24","49","516"
"01","000","01","000","Al","State Non-Migrant","1404958","3249579","44866044"
"01","000","00","000","","INTERNAL REVENUE SERVICE","","",""
"01","000","00","000","","STATISTICS OF INCOME","","",""
"02","000","96","000","","Total Outflow","17154","37094","538893"
"02","000","53","000","Wa","Washington","2351","4540","79466"
"02","000","06","000","Ca","California","1475","2874","41570"
"02","000","48","000","Tx","Texas","1170","2887","50720"
"02","000","41","000","Or","Oregon","1092","2166","32748"
"02","000","08","000","Co","Colorado","701","1412","23832"
"02","000","12","000","Fl","Florida","685","1452","18757"
"02","000","04","000","Az","Arizona","684","1417","21528"
"02","000","57","000","FR","Foreign","544","1060","15687"
"02","000","13","000","Ga","Georgia","513","1248","12763"
"02","000","37","000","NC","North Carolina","469","1198","13154"
"02","000","16","000","Id","Idaho","384","836","13414"
"02","000","51","000","Va","Virginia","382","979","12329"
"02","000","32","000","Nv","Nevada","324","657","10369"
"02","000","30","000","Mt","Montana","312","615","9351"
"02","000","27","000","Mn","Minnesota","298","598","8994"
"02","000","36","000","NY","New York","288","609","6857"
"02","000","40","000","Ok","Oklahoma","287","723","8983"
"02","000","29","000","Mo","Missouri","286","645","9908"
"02","000","26","000","Mi","Michigan","269","535","7269"
"02","000","47","000","Tn","Tennessee","268","665","8798"
"02","000","39","000","Oh","Ohio","258","573","7956"
"02","000","15","000","Hi","Hawaii","249","564","8739"
"02","000","35","000","NM","New Mexico","248","561","7581"
"02","000","49","000","Ut","Utah","248","566","7254"
"02","000","01","000","Al","Alabama","244","655","8003"
"02","000","22","000","La","Louisiana","228","584","8638"
"02","000","17","000","Il","Illinois","216","441","5917"
"02","000","55","000","Wi","Wisconsin","214","440","6253"
"02","000","20","000","Ks","Kansas","213","539","6647"
"02","000","21","000","Ky","Kentucky","199","505","5374"
"02","000","42","000","Pa","Pennsylvania","192","398","4643"
"02","000","24","000","Md","Maryland","176","440","4698"
"02","000","45","000","SC","South Carolina","155","398","5110"
"02","000","18","000","In","Indiana","143","321","4133"
"02","000","05","000","Ar","Arkansas","140","305","3962"
"02","000","28","000","Ms","Mississippi","138","341","4355"
"02","000","25","000","Ma","Massachusetts","125","215","3448"
"02","000","34","000","NJ","New Jersey","120","242","2809"
"02","000","38","000","ND","North Dakota","109","268","2595"
"02","000","56","000","Wy","Wyoming","102","236","4100"
"02","000","46","000","SD","South Dakota","100","216","4176"
"02","000","23","000","Me","Maine","94","196","2731"
"02","000","31","000","Ne","Nebraska","88","214","2363"
"02","000","19","000","Ia","Iowa","86","199","2779"
"02","000","54","000","WV","West Virginia","56","141","1745"
"02","000","33","000","NH","New Hampshire","56","103","2350"
"02","000","09","000","Ct","Connecticut","52","89","1076"
"02","000","50","000","Vt","Vermont","44","78","982"
"02","000","10","000","De","Delaware","30","70","684"
"02","000","11","000","DC","District of Columbia","27","39","753"
"02","000","44","000","RI","Rhode Island","22","41","542"
"02","000","02","000","Ak","State Non-Migrant","188978","433904","7893710"
"02","000","00","000","","INTERNAL REVENUE SERVICE","","",""
"02","000","00","000","","STATISTICS OF INCOME","","",""
"04","000","96","000","","Total Outflow","62602","125418","1641415"
"04","000","06","000","Ca","California","11361","21728","272785"
"04","000","48","000","Tx","Texas","4524","9368","127692"
"04","000","08","000","Co","Colorado","3877","7593","109012"
"04","000","35","000","NM","New Mexico","3531","8642","77709"
"04","000","32","000","Nv","Nevada","2946","5747","78756"
"04","000","53","000","Wa","Washington","2493","4757","65415"
"04","000","17","000","Il","Illinois","2093","3835","57191"
"04","000","12","000","Fl","Florida","2024","3813","56043"
"04","000","57","000","FR","Foreign","1944","3951","51643"
"04","000","41","000","Or","Oregon","1760","3553","46768"
"04","000","49","000","Ut","Utah","1598","3798","40203"
